id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
43801394,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81643,-71.22087,Entire apartment,Entire home/apt,4,1 bath,2,$343.00,1,1125,343,0,,f,
43803856,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81701,-71.21362,Entire apartment,Entire home/apt,6,1 bath,4,$364.00,1,1125,339,7,4.43,f,0.55
43812361,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81681,-71.21467,Entire apartment,Entire home/apt,4,1 bath,2,$274.00,1,1125,341,3,4.67,f,0.25
43812747,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81676,-71.21361,Entire apartment,Entire home/apt,4,1 bath,3,$294.00,1,1125,349,8,4.88,f,0.65
43831515,350554115,2020/6/17,within a few hours,100%,90%,f,t,t,L'Aéroport,46.77958,-71.35092,Entire cottage,Entire home/apt,6,1.5 baths,3,$204.00,2,1125,144,3,5,f,0.27
43880975,2594250,2012/6/10,within an hour,100%,100%,f,t,t,Vieux-Limoilou,46.82447,-71.22315,Entire apartment,Entire home/apt,2,1 bath,1,$80.00,31,1125,310,1,5,t,0.1
43895300,152746687,2017/9/30,within a day,100%,100%,f,t,t,Saint-Sauveur,46.81431,-71.24065,Entire townhouse,Entire home/apt,5,1.5 baths,4,$160.00,5,14,7,0,,f,
43895623,206157337,2018/7/30,within an hour,100%,85%,t,t,t,Saint-Roch,46.81936,-71.21942,Entire condominium,Entire home/apt,4,1 bath,2,$70.00,31,1125,327,0,,f,
43928985,186258083,2018/4/25,within an hour,100%,98%,f,t,t,Saint-Jean-Baptiste,46.8078,-71.22859,Entire apartment,Entire home/apt,2,1 bath,1,$71.00,1,29,1,26,4.62,f,2.1
43936599,30470433,2015/4/2,N/A,N/A,80%,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81018,-71.20798,Entire apartment,Entire home/apt,4,1 bath,2,$109.00,30,1125,90,5,5,f,0.46
43941397,300819574,2019/10/7,within an hour,100%,97%,t,t,t,Saint-Roch,46.81535,-71.21998,Entire condominium,Entire home/apt,6,1 bath,3,$248.00,2,1125,335,26,5,f,2.1
43947156,123075836,2017/3/28,within an hour,100%,97%,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80967,-71.20685,Entire apartment,Entire home/apt,2,1 bath,1,$148.00,3,1125,3,8,4.88,f,0.75
43956806,141408405,2017/7/19,within an hour,100%,100%,t,t,t,Quartier 5-4,46.86058,-71.1823,Entire apartment,Entire home/apt,6,1 bath,4,$155.00,2,1125,6,23,4.78,f,2.1
43959460,25471584,2015/1/1,N/A,N/A,80%,f,t,t,Saint-Sacrement,46.79481,-71.25285,Entire apartment,Entire home/apt,4,1.5 baths,3,$150.00,3,30,0,3,4.67,t,0.26
44020316,294097963,2019/9/11,within a day,100%,0%,f,t,t,Saint-Sacrement,46.79151,-71.25138,Entire apartment,Entire home/apt,4,1 bath,1,$50.00,30,1125,365,0,,f,
44030564,17286960,2014/6/26,a few days or more,0%,N/A,f,t,t,Saint-Jean-Baptiste,46.81185,-71.21827,Private room in bed and breakfast,Private room,4,1 private bath,2,$220.00,3,1125,355,0,,f,
44036141,54731144,2016/1/15,N/A,N/A,57%,t,t,t,Saint-Roch,46.8156,-71.22801,Entire condominium,Entire home/apt,3,1 bath,2,$500.00,4,31,88,2,5,f,0.19
44046397,206925261,2018/8/2,within an hour,100%,100%,f,t,t,Vanier,46.82272,-71.26299,Private room in apartment,Private room,2,1 shared bath,1,$30.00,1,1125,0,24,4.54,t,2.01
44047392,353082925,2020/7/2,within a few hours,100%,N/A,f,t,t,Duberger-Les Saules,46.80376,-71.33335,Entire house,Entire home/apt,7,1 bath,5,$90.00,32,120,365,0,,f,
44058493,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81464,-71.21882,Entire apartment,Entire home/apt,4,1 bath,2,$260.00,1,1125,350,4,4.75,f,1.19
44058938,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81532,-71.2184,Entire apartment,Entire home/apt,5,1 bath,3,$260.00,1,1125,330,1,4,f,0.39
44058988,59041207,2016/2/16,within an hour,100%,99%,t,t,t,Quartier 5-4,46.87294,-71.17351,Entire apartment,Entire home/apt,6,1 bath,3,$154.00,2,1125,2,37,4.92,t,3.26
44059269,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81538,-71.22044,Entire apartment,Entire home/apt,4,1 bath,2,$236.00,1,1125,334,21,4.9,f,3.48
44063296,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.8153,-71.21982,Entire apartment,Entire home/apt,4,1 bath,3,$246.00,1,1125,331,3,4.67,f,0.63
44082551,32079435,2015/4/27,N/A,N/A,94%,t,t,t,Sillery,46.78332,-71.24796,Private room in apartment,Private room,2,1 shared bath,1,$46.00,1,1125,93,19,5,f,1.61
44094680,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81614,-71.22046,Entire apartment,Entire home/apt,4,1 bath,2,$266.00,1,1125,341,5,4.4,f,0.81
44099703,224005439,2018/11/3,within an hour,100%,100%,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81358,-71.2109,Private room in bed and breakfast,Private room,2,1 private bath,1,$125.00,1,1125,319,0,,t,
44105274,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81245,-71.20236,Entire apartment,Entire home/apt,2,1 bath,1,$420.00,1,1125,315,0,,f,
44114095,354299211,2020/7/7,N/A,N/A,60%,f,t,f,Vieux-Limoilou,46.82504,-71.22636,Private room in apartment,Private room,2,1 shared bath,1,$40.00,1,1125,187,3,4.33,f,0.25
44114745,23548729,2014/11/9,within an hour,100%,96%,t,t,t,Montcalm,46.80367,-71.22523,Entire apartment,Entire home/apt,2,1 bath,1,$109.00,2,14,60,10,5,f,1.58
44114927,16466704,2014/6/6,within an hour,100%,100%,f,t,t,Saint-Sacrement,46.80029,-71.24804,Entire apartment,Entire home/apt,2,1 bath,2,$82.00,2,1125,66,8,4.88,f,1.38
44127474,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81324,-71.20309,Entire apartment,Entire home/apt,4,1 bath,2,$456.00,1,1125,311,0,,f,
44128035,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81583,-71.20801,Entire apartment,Entire home/apt,4,1 bath,3,$357.00,1,1125,308,1,5,f,0.19
44128232,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81549,-71.20829,Entire apartment,Entire home/apt,4,1 bath,3,$347.00,1,1125,345,1,5,f,0.1
