"","id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","review_scores_rating","instant_bookable","reviews_per_month","year"
"1228","36560843","128675645",2017-05-03,"within an hour",100,100,"t","t","t","Saint-Roch",46.81285,-71.23013,"Entire apartment","Entire home/apt",4,"1 bath",2,105,1,30,342,61,4.8,"t",2.55,4
"1229","36565472","263895773",2019-05-24,"within an hour",100,100,"t","t","t","Quartier 5-1",46.90068,-71.21959,"Private room in house","Private room",4,"1 private bath",1,80,1,30,169,63,4.92,"t",2.6,2
"1230","36570784","218488684",2018-10-02,"within an hour",90,98,"t","t","t","Quartier 4-5",46.85669,-71.2648,"Entire guest suite","Entire home/apt",2,"1 bath",3,45,2,30,188,29,4.93,"t",1.21,3
"1231","36584592","28100447",2015-02-21,"within an hour",100,99,"f","t","t","Saint-Roch",46.8138,-71.22549,"Entire loft","Entire home/apt",3,"1 bath",2,50,2,1125,0,46,4.59,"f",2.01,6
"1232","36585189","261327896",2019-05-12,"N/A",NA,NA,"f","t","f","Quartier 4-3",46.88057,-71.23077,"Private room in bungalow","Private room",2,"1 private bath",1,29,1,7,0,16,4.63,"t",0.69,2
"1233","36622335","142634903",2017-07-26,"N/A",NA,NA,"f","t","t","Maizerets",46.8431,-71.2277,"Private room in apartment","Private room",2,"1 shared bath",1,45,2,1125,0,11,4.64,"f",0.45,4
"1234","36635822","187362453",2018-05-01,"within an hour",100,50,"f","t","f","Loretteville",46.85053,-71.36793,"Private room in loft","Private room",1,"1 private bath",1,100,30,365,365,1,0,"f",0.04,3
"1235","36643581","181671343",2018-03-31,"within an hour",100,100,"t","t","t","Neufchâtel-Est/Lebourgneuf",46.84102,-71.31119,"Private room in condominium","Private room",2,"1 shared bath",1,39,1,14,0,24,4.96,"t",1.02,3
"1236","36659063","185937915",2018-04-23,"within an hour",100,99,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81414,-71.21247,"Entire apartment","Entire home/apt",4,"1 bath",3,362,1,1125,268,63,4.97,"t",2.69,3
"1237","36659543","185937915",2018-04-23,"within an hour",100,99,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81271,-71.2119,"Entire apartment","Entire home/apt",6,"2 baths",3,333,1,1125,262,40,4.98,"t",1.83,3
"1238","36669993","275617901",2019-07-12,"N/A",NA,NA,"f","t","f","Saint-Jean-Baptiste",46.81238,-71.21877,"Entire apartment","Entire home/apt",4,"1 bath",1,77,1,1125,147,91,4.49,"t",3.82,2
"1239","36676136","262862180",2019-05-19,"N/A",NA,NA,"f","t","f","Saint-Émile",46.88321,-71.33437,"Entire apartment","Entire home/apt",6,"1 bath",3,50,1,1125,319,79,4.7,"t",3.29,2
"1240","36692612","142634903",2017-07-26,"N/A",NA,NA,"f","t","t","Maizerets",46.84293,-71.22768,"Private room in apartment","Private room",2,"1 shared bath",1,45,2,1125,0,3,4.67,"f",0.13,4
"1241","36696564","142634903",2017-07-26,"N/A",NA,NA,"f","t","t","Maizerets",46.8411,-71.22825,"Entire apartment","Entire home/apt",4,"1 bath",2,89,2,1125,0,8,4.5,"f",0.33,4
"1242","36752052","276119615",2019-07-14,"N/A",NA,100,"t","t","t","Saint-Roch",46.81401,-71.22558,"Private room in apartment","Private room",2,"1 shared bath",1,70,5,12,233,63,4.95,"f",2.69,2
"1243","36761684","276319237",2019-07-15,"N/A",NA,NA,"t","t","t","Vieux-Limoilou",46.82577,-71.22837,"Private room in bed and breakfast","Private room",2,"1 shared bath",1,57,1,1125,0,26,4.96,"t",1.13,2
"1244","36771471","276404175",2019-07-15,"N/A",NA,NA,"f","t","f","Neufchâtel-Est/Lebourgneuf",46.83629,-71.33426,"Entire house","Entire home/apt",6,"2.5 baths",3,250,5,1125,0,0,NA,"f",NA,2
"1245","36775025","276437031",2019-07-16,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80994,-71.22075,"Entire apartment","Entire home/apt",2,"1 bath",1,76,1,1125,331,105,4.66,"t",4.53,2
"1246","36789713","148494903",2017-08-31,"N/A",NA,NA,"t","t","t","L'Aéroport",46.77937,-71.37288,"Private room in condominium","Private room",2,"1 shared bath",1,45,1,3,0,14,5,"f",0.59,4
"1247","36853555","48936700",2015-11-13,"N/A",NA,NA,"f","t","f","Maizerets",46.8403,-71.22324,"Private room in apartment","Private room",2,"1 shared bath",1,30,1,1125,0,1,3,"t",0.05,6
"1248","36867289","26352200",2015-01-19,"within a few hours",90,67,"f","t","t","Saint-Jean-Baptiste",46.8097,-71.22276,"Entire apartment","Entire home/apt",2,"1 bath",1,85,3,200,351,3,5,"f",0.14,6
"1249","36871470","277130799",2019-07-18,"N/A",NA,NA,"f","t","f","Plateau",46.77413,-71.32104,"Entire house","Entire home/apt",8,"1.5 baths",4,200,2,30,0,8,4.63,"t",0.34,2
"1250","36873459","203029897",2018-07-17,"within an hour",100,97,"t","t","t","Cité Universitaire",46.79302,-71.2705,"Entire apartment","Entire home/apt",2,"1 bath",1,53,3,1125,31,36,4.89,"t",1.67,3
"1251","36877360","28249488",2015-02-23,"within an hour",100,99,"f","t","t","Saint-Sauveur",46.8115,-71.23135,"Entire apartment","Entire home/apt",4,"1 bath",2,145,2,1125,345,29,4.69,"t",1.28,6
"1252","36884005","35775015",2015-06-14,"within an hour",99,100,"t","t","t","Saint-Roch",46.81552,-71.22616,"Entire loft","Entire home/apt",2,"1 bath",1,98,1,1125,336,59,4.81,"f",2.51,6
"1253","36904739","130785748",2017-05-17,"N/A",NA,NA,"f","t","t","Vieux-Moulin",46.85108,-71.23274,"Entire apartment","Entire home/apt",7,"1 bath",3,228,7,60,0,1,5,"f",0.06,4
"1254","36908657","260262878",2019-05-06,"N/A",NA,NA,"f","t","t","Chutes-Montmorency",46.87926,-71.16472,"Entire apartment","Entire home/apt",2,"1 bath",1,49,2,5,0,4,5,"f",0.18,2
"1255","36909611","276712643",2019-07-17,"N/A",NA,100,"f","t","f","Saint-Jean-Baptiste",46.80978,-71.21847,"Private room in house","Private room",2,"1 shared bath",1,45,31,1100,0,22,4.41,"t",0.95,2
"1256","36909845","4539492",2012-12-31,"N/A",NA,NA,"f","t","t","Saint-Roch",46.81622,-71.22165,"Entire loft","Entire home/apt",4,"1.5 baths",2,179,2,1125,0,32,4.97,"f",1.52,9
"1257","36910011","130785748",2017-05-17,"N/A",NA,NA,"f","t","t","Vieux-Moulin",46.85172,-71.23234,"Entire apartment","Entire home/apt",7,"1 bath",3,169,7,60,0,2,4,"f",0.09,4
"1258","36913258","272243290",2019-06-29,"N/A",NA,NA,"f","t","t","Neufchâtel-Est/Lebourgneuf",46.83783,-71.32335,"Entire apartment","Entire home/apt",4,"1 bath",3,79,1,31,0,17,4.35,"t",0.72,2
"1259","36938612","376275905",2020-11-19,"N/A",NA,NA,"f","t","f","Saint-Roch",46.81667,-71.21891,"Entire loft","Entire home/apt",2,"1 bath",1,117,1,1125,249,95,4.72,"t",4.34,1
"1260","36942077","193766296",2018-06-05,"within an hour",100,99,"t","t","t","Saint-Roch",46.81642,-71.221,"Entire apartment","Entire home/apt",4,"1 bath",2,111,1,1125,41,51,4.73,"t",2.17,3
"1261","36974624","277967208",2019-07-21,"N/A",NA,NA,"f","t","f","Saint-Sauveur",46.8094,-71.23595,"Private room in house","Private room",2,"1 shared bath",1,146,2,1125,0,18,4.65,"f",0.81,2
"1262","37052300","150029296",2017-09-10,"N/A",NA,NA,"t","t","t","Val-Bélair",46.86598,-71.44062,"Entire apartment","Entire home/apt",4,"1 bath",2,51,2,10,187,14,5,"f",0.6,4
"1263","37084388","268855206",2019-06-15,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81317,-71.21105,"Entire apartment","Entire home/apt",2,"1 bath",1,156,2,31,120,17,5,"t",17,2
"1264","37085546","268855206",2019-06-15,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81418,-71.2099,"Entire apartment","Entire home/apt",2,"1 bath",1,141,2,1125,90,17,4.88,"t",0.73,2
"1265","37085856","47579586",2015-10-27,"within an hour",100,100,"t","t","t","Quartier 4-2",46.87414,-71.28311,"Entire apartment","Entire home/apt",9,"1 bath",4,225,2,1125,0,54,4.98,"t",2.28,6
"1266","37112874","279153285",2019-07-25,"within a day",100,NA,"f","t","f","Vieux-Limoilou",46.82244,-71.22949,"Entire apartment","Entire home/apt",2,"1 bath",1,40,30,1125,187,0,NA,"f",NA,2
"1267","37148725","222996683",2018-10-28,"N/A",NA,100,"f","t","t","Duberger-Les Saules",46.81501,-71.31754,"Entire apartment","Entire home/apt",4,"2 baths",2,70,2,4,0,2,5,"f",0.09,3
"1268","37148907","182006149",2018-04-02,"within an hour",100,97,"t","t","t","Saint-Roch",46.81401,-71.22868,"Entire apartment","Entire home/apt",6,"1 bath",4,189,2,1125,10,60,4.85,"t",2.56,3
"1269","37157894","40736086",2015-08-06,"within a few hours",100,73,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81564,-71.20946,"Entire apartment","Entire home/apt",10,"2.5 baths",7,322,2,1125,264,42,4.88,"f",2.18,6
"1270","37209739","280086863",2019-07-28,"within an hour",100,95,"t","t","f","Saint-Louis",46.76209,-71.31026,"Entire apartment","Entire home/apt",4,"1 bath",2,110,2,30,159,29,4.86,"t",1.24,2
"1271","37210945","280087927",2019-07-28,"within a day",100,100,"f","t","t","Quartier 4-3",46.88932,-71.25072,"Entire bungalow","Entire home/apt",8,"2 baths",5,250,14,21,33,1,4,"f",0.04,2
