id,host_id,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,year,host_acceptance_rate,host_response_rate,price_boxcox,weights
46459688,369464370,within a few hours,f,t,t,Saint-Sacrement,46.79022,-71.26216,Private room in apartment,Private room,2,1 shared bath,2,32,3,180,347,8,5,f,1.3,1,82,80,3.4657359028,0.6569048906
46471995,79368036,within an hour,t,t,f,Lac-Saint-Charles,46.90912,-71.36966,Entire loft,Entire home/apt,2,1 bath,1,53,2,1125,30,12,5,t,1.57,5,100,100,3.9702919136,1
46488957,376033480,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81397,-71.20752,Entire apartment,Entire home/apt,9,2 baths,4,258,1,1125,115,8,4.13,f,1.26,1,92,96,5.5529595849,1
46509752,348909116,within an hour,f,t,t,Saint-Roch,46.81687,-71.22067,Entire serviced apartment,Entire home/apt,4,1 bath,2,291,1,1125,349,5,4.8,f,1.38,1,95,100,5.6733232672,1
46526447,348909116,within an hour,f,t,t,Saint-Roch,46.815,-71.2193,Entire serviced apartment,Entire home/apt,6,2 baths,3,331,1,1125,341,16,4.75,f,4.53,1,95,100,5.8021183754,1
46543772,334803689,within an hour,f,t,t,Saint-Jean-Baptiste,46.80758,-71.22632,Entire apartment,Entire home/apt,2,1 bath,1,80,2,1125,86,2,4.5,f,0.48,1,100,100,4.3820266347,1
46551511,310071000,within an hour,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81429,-71.20272,Entire condominium,Entire home/apt,5,1 bath,2,216,2,1125,266,23,4.7,t,3.59,2,99,100,5.3752784077,1
46551795,310071000,within an hour,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8142,-71.20403,Entire condominium,Entire home/apt,5,1 bath,2,330,2,1125,262,27,4.96,t,4.13,2,99,100,5.7990926545,1
46552214,310071000,within an hour,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81299,-71.20307,Entire condominium,Entire home/apt,5,1 bath,2,394,2,1125,293,22,4.91,t,3.08,2,99,100,5.9763509093,0.9511489606
46552552,310071000,within an hour,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81376,-71.20281,Entire condominium,Entire home/apt,5,1 bath,2,344,2,1125,305,29,4.86,t,4.35,2,99,100,5.8406416574,1
46566359,79368036,within an hour,t,t,f,Lac-Saint-Charles,46.91029,-71.36978,Entire loft,Entire home/apt,2,1 bath,1,125,2,1125,120,18,5,t,2.54,5,100,100,4.8283137373,0.6953313457
46586697,310071000,within an hour,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81234,-71.2041,Entire condominium,Entire home/apt,3,1 bath,1,189,2,1125,308,16,4.81,t,2.24,2,99,100,5.2417470151,1
46587007,310071000,within an hour,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81048,-71.20816,Entire condominium,Entire home/apt,5,1 bath,3,147,2,1125,280,11,4.91,t,3.2,2,99,100,4.9904325868,1
